Date,Open,High,Low,Close*,Adj Close**,Volume
"May 11, 2022","3,990.08","4,049.09","3,928.82","3,935.18","3,935.18","4,683,220,000"
"May 10, 2022","4,035.18","4,068.82","3,958.17","4,001.05","4,001.05","4,630,150,000"
"May 09, 2022","4,081.27","4,081.27","3,975.48","3,991.24","3,991.24","4,746,120,000"
"May 06, 2022","4,128.17","4,157.69","4,067.91","4,123.34","4,123.34","4,254,300,000"
"May 05, 2022","4,270.43","4,270.43","4,106.01","4,146.87","4,146.87","4,197,620,000"
"May 04, 2022","4,181.18","4,307.66","4,148.91","4,300.17","4,300.17","4,236,210,000"
"May 03, 2022","4,159.78","4,200.10","4,147.08","4,175.48","4,175.48","3,877,530,000"
"May 02, 2022","4,130.61","4,169.81","4,062.51","4,155.38","4,155.38","4,474,060,000"
"Apr 29, 2022","4,253.75","4,269.68","4,124.28","4,131.93","4,131.93","3,943,480,000"
"Apr 28, 2022","4,222.58","4,308.45","4,188.63","4,287.50","4,287.50","3,969,440,000"
"Apr 27, 2022","4,186.52","4,240.71","4,162.90","4,183.96","4,183.96","3,876,340,000"
"Apr 26, 2022","4,278.14","4,278.14","4,175.04","4,175.20","4,175.20","3,760,420,000"
"Apr 25, 2022","4,255.34","4,299.02","4,200.82","4,296.12","4,296.12","4,061,070,000"
"Apr 22, 2022","4,385.83","4,385.83","4,267.62","4,271.78","4,271.78","3,930,660,000"
"Apr 21, 2022","4,489.17","4,512.94","4,384.47","4,393.66","4,393.66","3,833,570,000"
"Apr 20, 2022","4,472.26","4,488.29","4,448.76","4,459.45","4,459.45","3,678,040,000"
"Apr 19, 2022","4,390.63","4,471.03","4,390.63","4,462.21","4,462.21","3,197,930,000"
"Apr 18, 2022","4,385.63","4,410.31","4,370.30","4,391.69","4,391.69","3,509,340,000"
"Apr 14, 2022","4,449.12","4,460.46","4,390.77","4,392.59","4,392.59","3,634,740,000"
"Apr 13, 2022","4,394.30","4,453.92","4,392.70","4,446.59","4,446.59","3,273,140,000"
"Apr 12, 2022","4,437.59","4,471.00","4,381.34","4,397.45","4,397.45","3,451,990,000"
"Apr 11, 2022","4,462.64","4,464.35","4,408.38","4,412.53","4,412.53","3,452,540,000"
"Apr 08, 2022","4,494.15","4,520.41","4,474.60","4,488.28","4,488.28","3,453,040,000"
"Apr 07, 2022","4,474.65","4,521.16","4,450.30","4,500.21","4,500.21","4,054,010,000"
"Apr 06, 2022","4,494.17","4,503.94","4,450.04","4,481.15","4,481.15","4,137,080,000"
"Apr 05, 2022","4,572.45","4,593.45","4,514.17","4,525.12","4,525.12","3,906,230,000"
"Apr 04, 2022","4,547.97","4,583.50","4,539.21","4,582.64","4,582.64","3,833,500,000"
"Apr 01, 2022","4,540.32","4,548.70","4,507.57","4,545.86","4,545.86","3,828,290,000"
"Mar 31, 2022","4,599.02","4,603.07","4,530.41","4,530.41","4,530.41","3,782,040,000"
"Mar 30, 2022","4,624.20","4,627.77","4,581.32","4,602.45","4,602.45","3,665,390,000"
"Mar 29, 2022","4,602.86","4,637.30","4,589.66","4,631.60","4,631.60","4,239,660,000"
"Mar 28, 2022","4,541.09","4,575.65","4,517.69","4,575.52","4,575.52","3,696,850,000"
"Mar 25, 2022","4,522.91","4,546.03","4,501.07","4,543.06","4,543.06","3,577,520,000"
"Mar 24, 2022","4,469.98","4,520.58","4,465.17","4,520.16","4,520.16","3,573,430,000"
"Mar 23, 2022","4,493.10","4,501.07","4,455.81","4,456.24","4,456.24","4,014,360,000"
"Mar 22, 2022","4,469.10","4,522.00","4,469.10","4,511.61","4,511.61","3,962,880,000"
"Mar 21, 2022","4,462.40","4,481.75","4,424.30","4,461.18","4,461.18","3,961,050,000"
"Mar 18, 2022","4,407.34","4,465.40","4,390.57","4,463.12","4,463.12","6,681,510,000"
"Mar 17, 2022","4,345.11","4,412.67","4,335.65","4,411.67","4,411.67","4,174,170,000"
"Mar 16, 2022","4,288.14","4,358.90","4,251.99","4,357.86","4,357.86","5,002,240,000"
"Mar 15, 2022","4,188.82","4,271.05","4,187.90","4,262.45","4,262.45","4,331,170,000"
"Mar 14, 2022","4,202.75","4,247.57","4,161.72","4,173.11","4,173.11","4,757,600,000"
